               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11907,            0.014224,                   0,          0.00048901,           0.0059172,          0.00020045,          4.7308e-05,             0.12977,           0.0063602,                   0,             2.1e-05,             2.1e-05,            0.097921
                   1,             0.10137,            0.017465,                   0,          0.00028963,            0.031558,          0.00014291,          2.8156e-05,             0.12877,           0.0084661,                   0,          4.2998e-05,          4.2998e-05,            0.095743
                   2,            0.085764,            0.018909,                   0,             0.10186,            0.072978,            0.022484,            0.003832,             0.10393,             0.01047,                   0,          6.4986e-05,          6.4986e-05,            0.093565
                   3,            0.075523,            0.017122,                   0,             0.08447,             0.20907,            0.054088,           0.0091462,             0.10067,           0.0094131,                   0,          8.6957e-05,          8.6957e-05,            0.091387
                   4,            0.069368,            0.015377,                   0,             0.24576,             0.35797,             0.14984,            0.032039,            0.086288,           0.0096486,                   0,           0.0001089,           0.0001089,            0.089209
                   5,            0.066351,            0.014453,                   0,             0.42953,             0.44849,             0.37297,            0.073054,            0.075047,           0.0086986,                   0,          0.00013082,          0.00013082,            0.087031
                   6,            0.062508,            0.013176,                   0,             0.54466,             0.55819,             0.52444,             0.12251,            0.075204,           0.0098436,                   0,          0.00015269,          0.00015269,            0.084853
                   7,            0.058641,            0.012211,                   0,             0.76506,             0.62304,             0.69338,             0.20897,            0.063918,           0.0089147,                   0,          0.00017452,          0.00017452,            0.082675
                   8,            0.059099,            0.012036,                   0,             0.79784,              0.6785,             0.73771,             0.26863,            0.056975,           0.0093164,                   0,           0.0001963,           0.0001963,            0.080496
                   9,            0.054989,            0.012381,                   0,             0.87099,             0.70579,             0.81187,               0.292,            0.055781,           0.0084441,                   0,          0.00021802,          0.00021802,            0.078318
                  10,            0.055395,            0.012583,                   0,             0.80606,               0.746,              0.7896,             0.26717,            0.058065,           0.0083374,                   0,          0.00023966,          0.00023966,             0.07614
                  11,            0.053033,            0.011607,                   0,             0.77772,             0.73843,             0.77505,               0.275,            0.050077,           0.0089824,                   0,          0.00026124,          0.00026124,            0.073961
                  12,            0.051137,            0.011789,                   0,             0.85471,             0.82446,             0.87809,             0.37779,            0.050112,           0.0083453,                   0,          0.00028273,          0.00028273,            0.071783
                  13,            0.051975,            0.011222,                   0,             0.86331,             0.74753,             0.81614,             0.34241,            0.048519,           0.0081923,                   0,          0.00030413,          0.00030413,            0.069604
                  14,             0.04981,            0.011307,                   0,             0.85262,             0.79874,             0.86058,             0.38908,            0.049127,           0.0083868,                   0,          0.00032543,          0.00032543,            0.067425
                  15,            0.047154,             0.01099,                   0,             0.80874,             0.82643,             0.84578,             0.32381,            0.049714,           0.0080902,                   0,          0.00034664,          0.00034664,            0.065247
                  16,            0.050278,            0.010274,                   0,             0.83098,             0.77578,             0.82003,             0.28212,            0.048844,           0.0081944,                   0,          0.00036773,          0.00036773,            0.063068
                  17,            0.046644,            0.010726,                   0,             0.88301,              0.8146,             0.90194,             0.41847,            0.047105,           0.0081371,                   0,           0.0003887,           0.0003887,            0.060889
